rpm,v_ms,thrust_N,torque_Nm
1000.0,0.000000,0.051000,0.001000
1000.0,0.174346,0.050000,0.001000
1000.0,0.348691,0.050000,0.001000
1000.0,0.523037,0.050000,0.001000
1000.0,0.697382,0.050000,0.001000
1000.0,0.871728,0.050000,0.001000
1000.0,1.046074,0.050000,0.002000
1000.0,1.220419,0.050000,0.002000
1000.0,1.394765,0.050000,0.002000
1000.0,1.569110,0.050000,0.002000
1000.0,1.743456,0.050000,0.002000
1000.0,1.917802,0.050000,0.002000
1000.0,2.092147,0.050000,0.002000
1000.0,2.266493,0.049000,0.002000
1000.0,2.440838,0.049000,0.002000
1000.0,2.615184,0.048000,0.002000
1000.0,2.789530,0.046000,0.002000
1000.0,2.963875,0.045000,0.002000
1000.0,3.142691,0.042000,0.002000
1000.0,3.317037,0.040000,0.002000
1000.0,3.491382,0.037000,0.002000
1000.0,3.665728,0.033000,0.002000
1000.0,3.840074,0.030000,0.002000
1000.0,4.014419,0.026000,0.001000
1000.0,4.188765,0.022000,0.001000
1000.0,4.363110,0.018000,0.001000
1000.0,4.537456,0.014000,0.001000
1000.0,4.711802,0.010000,0.001000
1000.0,4.886147,0.005000,0.001000
1000.0,5.060493,0.001000,0.001000
2000.0,0.000000,0.204000,0.005000
2000.0,0.353162,0.203000,0.005000
2000.0,0.710794,0.203000,0.005000
2000.0,1.063955,0.203000,0.005000
2000.0,1.417117,0.202000,0.006000
2000.0,1.774749,0.203000,0.006000
2000.0,2.127910,0.203000,0.006000
2000.0,2.481072,0.203000,0.006000
2000.0,2.838704,0.203000,0.006000
2000.0,3.191866,0.203000,0.006000
2000.0,3.545027,0.203000,0.006000
2000.0,3.898189,0.202000,0.007000
2000.0,4.255821,0.201000,0.007000
2000.0,4.608982,0.199000,0.007000
2000.0,4.962144,0.197000,0.007000
2000.0,5.319776,0.192000,0.007000
2000.0,5.672938,0.187000,0.007000
2000.0,6.026099,0.179000,0.007000
2000.0,6.383731,0.170000,0.007000
2000.0,6.736893,0.158000,0.007000
2000.0,7.090054,0.146000,0.007000
2000.0,7.447686,0.132000,0.006000
2000.0,7.800848,0.117000,0.006000
2000.0,8.154010,0.101000,0.005000
2000.0,8.511642,0.085000,0.005000
2000.0,8.864803,0.069000,0.004000
2000.0,9.217965,0.052000,0.004000
2000.0,9.575597,0.035000,0.003000
2000.0,9.928758,0.018000,0.002000
2000.0,10.281920,0.001000,0.002000
3000.0,0.000000,0.459000,0.012000
3000.0,0.536448,0.458000,0.012000
3000.0,1.068426,0.457000,0.012000
3000.0,1.604874,0.457000,0.012000
3000.0,2.141322,0.457000,0.012000
3000.0,2.677770,0.457000,0.012000
3000.0,3.209747,0.458000,0.013000
3000.0,3.746195,0.459000,0.013000
3000.0,4.282643,0.459000,0.013000
3000.0,4.819091,0.459000,0.014000
3000.0,5.351069,0.459000,0.014000
3000.0,5.887517,0.458000,0.015000
3000.0,6.423965,0.455000,0.015000
3000.0,6.960413,0.451000,0.015000
3000.0,7.492390,0.444000,0.016000
3000.0,8.028838,0.435000,0.016000
3000.0,8.565286,0.421000,0.016000
3000.0,9.101734,0.404000,0.016000
3000.0,9.633712,0.382000,0.016000
3000.0,10.170160,0.356000,0.015000
3000.0,10.706608,0.327000,0.014000
3000.0,11.243056,0.295000,0.014000
3000.0,11.775034,0.261000,0.013000
3000.0,12.311482,0.226000,0.011000
3000.0,12.847930,0.190000,0.010000
3000.0,13.379907,0.152000,0.009000
3000.0,13.916355,0.114000,0.008000
3000.0,14.452803,0.076000,0.006000
3000.0,14.989251,0.038000,0.005000
3000.0,15.521229,0.001000,0.003000
4000.0,0.000000,0.818000,0.020000
4000.0,0.715264,0.816000,0.020000
4000.0,1.430528,0.815000,0.020000
4000.0,2.150262,0.814000,0.021000
4000.0,2.865526,0.814000,0.021000
4000.0,3.580790,0.815000,0.021000
4000.0,4.296054,0.816000,0.022000
4000.0,5.015789,0.817000,0.023000
4000.0,5.731053,0.819000,0.023000
4000.0,6.446317,0.819000,0.024000
4000.0,7.161581,0.819000,0.025000
4000.0,7.881315,0.817000,0.025000
4000.0,8.596579,0.813000,0.026000
4000.0,9.311843,0.805000,0.027000
4000.0,10.027107,0.793000,0.028000
4000.0,10.746842,0.775000,0.028000
4000.0,11.462106,0.751000,0.028000
4000.0,12.177370,0.719000,0.028000
4000.0,12.892634,0.679000,0.027000
4000.0,13.612368,0.633000,0.027000
4000.0,14.327632,0.580000,0.025000
4000.0,15.042896,0.524000,0.024000
4000.0,15.758160,0.463000,0.022000
4000.0,16.473424,0.400000,0.020000
4000.0,17.193158,0.335000,0.018000
4000.0,17.908422,0.269000,0.015000
4000.0,18.623686,0.201000,0.013000
4000.0,19.338950,0.134000,0.011000
4000.0,20.058685,0.067000,0.008000
4000.0,20.773949,0.001000,0.005000
5000.0,0.000000,1.279000,0.031000
5000.0,0.898550,1.276000,0.031000
5000.0,1.797101,1.275000,0.032000
5000.0,2.691181,1.274000,0.032000
5000.0,3.589731,1.274000,0.033000
5000.0,4.488282,1.276000,0.033000
5000.0,5.386832,1.277000,0.034000
5000.0,6.285382,1.280000,0.035000
5000.0,7.179462,1.282000,0.036000
5000.0,8.078013,1.283000,0.037000
5000.0,8.976563,1.283000,0.038000
5000.0,9.875114,1.280000,0.039000
5000.0,10.773664,1.273000,0.041000
5000.0,11.667744,1.261000,0.042000
5000.0,12.566294,1.242000,0.043000
5000.0,13.464845,1.214000,0.044000
5000.0,14.363395,1.176000,0.044000
5000.0,15.257475,1.126000,0.044000
5000.0,16.156026,1.063000,0.043000
5000.0,17.054576,0.989000,0.041000
5000.0,17.953126,0.907000,0.039000
5000.0,18.851677,0.818000,0.037000
5000.0,19.745757,0.723000,0.034000
5000.0,20.644307,0.624000,0.031000
5000.0,21.542858,0.522000,0.027000
5000.0,22.441408,0.418000,0.024000
5000.0,23.339958,0.313000,0.020000
5000.0,24.234038,0.208000,0.016000
5000.0,25.132589,0.103000,0.012000
5000.0,26.031139,0.001000,0.007000
6000.0,0.000000,1.843000,0.044000
6000.0,1.077366,1.839000,0.045000
6000.0,2.159203,1.837000,0.045000
6000.0,3.236570,1.836000,0.046000
6000.0,4.313936,1.837000,0.046000
6000.0,5.395773,1.839000,0.047000
6000.0,6.473139,1.842000,0.048000
6000.0,7.554976,1.846000,0.050000
6000.0,8.632342,1.849000,0.051000
6000.0,9.709709,1.851000,0.053000
6000.0,10.791546,1.851000,0.055000
6000.0,11.868912,1.847000,0.057000
6000.0,12.946278,1.837000,0.058000
6000.0,14.028115,1.820000,0.060000
6000.0,15.105482,1.792000,0.061000
6000.0,16.187318,1.753000,0.062000
6000.0,17.264685,1.697000,0.063000
6000.0,18.342051,1.624000,0.062000
6000.0,19.423888,1.533000,0.061000
6000.0,20.501254,1.426000,0.059000
6000.0,21.578621,1.307000,0.056000
6000.0,22.660458,1.178000,0.052000
6000.0,23.737824,1.041000,0.048000
6000.0,24.819661,0.898000,0.044000
